"aviLabel","taxon","aviId","avidb_link"
"Cygnus melancoryphus","http://purl.obolibrary.org/obo/NCBITaxon_41691","http://kenshih.com/master-birder/ontology#AvibaseID_avibase-B8C652E6","https://avibase.bsc-eoc.org/species.jsp?avibaseid=avibase-B8C652E6"
"Cygnus olor","http://purl.obolibrary.org/obo/NCBITaxon_8869","http://kenshih.com/master-birder/ontology#AvibaseID_avibase-694C127A","https://avibase.bsc-eoc.org/species.jsp?avibaseid=avibase-694C127A"
"Cygnus atratus","http://purl.obolibrary.org/obo/NCBITaxon_8868","http://kenshih.com/master-birder/ontology#AvibaseID_avibase-46B54DB1","https://avibase.bsc-eoc.org/species.jsp?avibaseid=avibase-46B54DB1"
"Cygnus columbianus","http://purl.obolibrary.org/obo/NCBITaxon_110926","http://kenshih.com/master-birder/ontology#AvibaseID_avibase-0BCBA6B9","https://avibase.bsc-eoc.org/species.jsp?avibaseid=avibase-0BCBA6B9"
"Cygnus cygnus","http://purl.obolibrary.org/obo/NCBITaxon_219595","http://kenshih.com/master-birder/ontology#AvibaseID_avibase-BDDB5670","https://avibase.bsc-eoc.org/species.jsp?avibaseid=avibase-BDDB5670"
"Cygnus buccinator","http://purl.obolibrary.org/obo/NCBITaxon_48397","http://kenshih.com/master-birder/ontology#AvibaseID_avibase-B86C504C","https://avibase.bsc-eoc.org/species.jsp?avibaseid=avibase-B86C504C"
"Branta bernicla","http://purl.obolibrary.org/obo/NCBITaxon_184712","http://kenshih.com/master-birder/ontology#AvibaseID_avibase-3E04020B","https://avibase.bsc-eoc.org/species.jsp?avibaseid=avibase-3E04020B"
"Branta ruficollis","http://purl.obolibrary.org/obo/NCBITaxon_184715","http://kenshih.com/master-birder/ontology#AvibaseID_avibase-0D280B3F","https://avibase.bsc-eoc.org/species.jsp?avibaseid=avibase-0D280B3F"
"Branta sandvicensis","http://purl.obolibrary.org/obo/NCBITaxon_56282","http://kenshih.com/master-birder/ontology#AvibaseID_avibase-EDB18078","https://avibase.bsc-eoc.org/species.jsp?avibaseid=avibase-EDB18078"
"Branta canadensis","http://purl.obolibrary.org/obo/NCBITaxon_8853","http://kenshih.com/master-birder/ontology#AvibaseID_avibase-B59E1863","https://avibase.bsc-eoc.org/species.jsp?avibaseid=avibase-B59E1863"
"Branta leucopsis","http://purl.obolibrary.org/obo/NCBITaxon_184711","http://kenshih.com/master-birder/ontology#AvibaseID_avibase-3163ED86","https://avibase.bsc-eoc.org/species.jsp?avibaseid=avibase-3163ED86"
"Branta hutchinsii","http://purl.obolibrary.org/obo/NCBITaxon_371860","http://kenshih.com/master-birder/ontology#AvibaseID_avibase-60214D49","https://avibase.bsc-eoc.org/species.jsp?avibaseid=avibase-60214D49"
"Anser indicus","http://purl.obolibrary.org/obo/NCBITaxon_8846","http://kenshih.com/master-birder/ontology#AvibaseID_avibase-B7159EF0","https://avibase.bsc-eoc.org/species.jsp?avibaseid=avibase-B7159EF0"
